CatNo,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3
UT03-81D,3,5,1,0,1,4,0,0,3,2,3,2
UT03-83D,3,5,2,2,2,2,0,0,3,2,3,2
UT03-89D,1,1,2,1,2,0,1,1,1,2,1,2
UT03-89D,1,1,2,1,2,0,1,1,3,2,1,2
UT03-99D,1,5,2,1,2,1,,0,3,2,3,1
UT04-81D,3,5,2,1,2,1,,1,3,2,3,1
UT04-83D,1,4,1,0,1,3,1,1,3,2,3,2
UT04-88D,1,2,3,1,2,2,1,1,1,2,1,2
UT04-88D,1,2,3,1,2,2,1,1,2,2,1,2
UT04-95D,3,2,2,3,2,1,1,1,1,2,1,2
UT04-95D,3,2,2,3,2,1,1,1,2,2,1,2
UT04-99D,1,4,1,0,2,1,1,0,2,2,3,2
UT05-01D,1,4,3,1,2,3,1,1,0,2,1,1
UT05-01D,1,4,3,1,2,3,1,1,3,2,1,1
UT05-94D,1,4,3,3,2,3,0,1,0,2,1,2
UT06-00D,2,5,3,1,3,3,0,0,3,2,1,2
UT06-00D,2,5,3,1,3,3,0,0,,2,1,2
UT06-02D,1,1,2,3,2,1,1,1,2,2,1,2
UT06-02D,1,1,2,3,2,1,1,1,,2,1,2
UT06-87D,1,3,2,3,2,1,0,0,3,2,1,2
UT06-87D,1,3,2,3,2,1,0,0,,2,1,2
UT06-89D,2,1,2,2,3,1,0,0,1,2,1,1
UT06-89D,2,1,2,2,3,1,0,0,3,2,1,1
UT06-99D,3,5,1,2,2,3,1,0,1,2,3,2
UT07-86D,3,5,3,3,3,2,0,0,2,2,3,2
UT08-99D,1,1,3,2,3,1,1,1,0,2,1,2
UT08-99D,1,1,3,2,3,1,1,1,2,2,1,2
UT09-01D,3,5,2,1,1,4,0,0,3,2,3,2
UT09-89D,1,4,3,1,3,0,0,0,0,2,1,2
UT09-89D,1,4,3,1,3,0,0,0,3,2,1,2
UT10-01D,3,5,2,1,2,3,1,1,2,2,3,1
UT10-99D,3,4,3,2,2,1,1,1,0,2,1,2
UT10-99D,3,4,3,2,2,1,1,1,2,2,1,2
UT11-01D,3,4,2,1,2,4,0,0,2,2,3,1
UT11-98D,1,3,3,1,3,0,1,1,1,2,1,2
UT11-98D,1,3,3,1,3,0,1,1,2,2,1,2
UT12-01D,3,5,1,0,1,4,0,0,3,2,3,2
UT12-05D,1,2,3,1,2,1,1,1,0,2,1,2
UT12-05D,1,2,3,1,2,1,1,1,2,2,1,2
UT13-98D,3,5,2,1,1,3,1,0,3,2,3,2
UT14-97D,1,3,3,2,2,1,0,1,1,2,1,2
UT14-97D,1,3,3,2,2,1,0,1,2,2,1,2
UT14-98D,3,4,2,1,1,3,0,1,3,2,3,2
UT15-89D,3,2,2,2,3,1,0,0,0,2,1,2
UT15-89D,3,2,2,2,3,1,0,0,2,2,1,2
UT15-90D,1,2,2,1,2,0,1,1,2,2,1,2
