CatNo,i1,i2,i3,i4,i5,i6,i7,i8,i9,o1,o2,o3
362,1,1,3,2,3,0,1,1,2,1,1,2
371,1,1,3,3,3,0,1,1,1,1,1,2
374R,1,4,3,1,3,0,0,1,1,1,1,1
375,1,1,2,1,3,0,0,0,1,1,1,2
376,1,1,3,1,3,3,0,0,2,1,1,2
377,1,1,1,2,2,3,1,1,1,1,1,2
385,1,1,2,1,2,0,0,0,2,1,1,2
386R,1,3,1,1,1,4,0,0,3,1,1,2
387R,3,5,2,1,3,3,0,0,3,1,3,1
390R,1,1,3,1,2,0,0,1,3,1,1,1
391,1,1,3,3,3,0,0,0,0,1,1,2
393RR,1,4,1,1,2,4,0,0,1,1,3,1
400,1,1,2,1,3,0,0,1,2,1,1,2
404,1,2,2,2,3,3,1,1,2,1,1,2
405R,2,3,2,1,1,1,0,0,2,1,3,1
408R,1,4,1,3,1,2,0,0,2,1,3,1
410R,1,1,1,1,2,0,1,1,1,1,1,2
418R,1,1,2,1,3,0,0,0,2,1,1,1
41R,3,3,2,2,1,4,0,0,1,1,3,1
472,2,2,2,2,1,4,0,0,1,1,1,1
576,1,1,3,1,3,0,1,1,1,1,1,2
603,1,1,2,3,3,0,0,1,1,1,1,1
606,1,2,2,3,1,4,0,0,2,1,1,2
609,1,1,3,3,3,1,0,0,0,1,1,2
615,1,1,3,1,3,0,0,0,2,1,1,1
616R,1,1,3,3,2,0,0,1,2,1,1,1
617R,1,4,3,3,3,0,0,1,3,1,1,1
618,1,1,3,3,3,0,1,1,1,1,1,2
619,1,1,3,3,2,2,0,1,1,1,1,2
621R,3,2,2,3,2,0,0,0,2,1,1,2
628,1,1,3,1,3,0,0,0,2,1,1,2
653,1,3,3,1,2,0,0,1,0,1,1,1
654,1,1,2,2,3,4,1,1,3,1,1,2
655,1,1,2,2,2,0,0,0,2,1,1,1
657R,1,1,2,1,2,0,1,1,1,1,1,1
658R,1,1,2,1,3,1,0,1,2,1,1,1
659R,1,4,2,1,1,4,0,0,2,1,3,1
663,1,1,3,2,3,0,0,0,2,1,1,2
669R,1,3,3,1,2,3,1,1,2,1,1,2
66R,1,3,1,2,1,4,0,0,1,1,3,1
675,1,1,3,1,3,0,0,1,2,1,1,2
69R,2,2,1,1,2,3,1,0,2,1,3,1
76R,1,4,2,1,2,3,0,0,2,1,3,1
77R,1,1,1,1,2,3,1,1,1,1,1,1
78R,1,3,3,1,3,0,0,0,2,1,1,1
79R,1,3,1,1,1,,1,0,3,1,3,1
804R,1,2,1,1,1,4,0,0,1,1,3,1
808R,3,3,2,2,1,2,0,0,2,1,3,1
809R,1,1,3,1,3,0,0,0,2,1,1,2
80RR,1,2,1,2,3,1,0,0,2,1,3,1
811,1,1,2,2,2,0,1,1,3,1,1,2
815,1,1,2,3,2,2,0,1,2,1,1,1
816,1,1,3,2,3,0,0,1,1,1,1,2
817,1,1,3,1,3,0,0,0,2,1,1,2
81R,3,1,1,1,2,0,0,1,2,1,1,1
821,1,1,2,3,3,0,0,1,2,1,1,2
822,1,1,1,3,2,2,0,1,2,1,1,1
825,1,4,3,1,3,0,0,1,2,1,1,2
826,1,1,1,1,2,0,0,1,1,1,1,2
829,1,1,2,2,3,0,1,1,1,1,1,2
82R,1,1,2,1,3,0,1,1,1,1,1,2
830,1,1,3,3,3,0,0,0,3,1,1,2
831,1,1,3,2,3,0,0,1,2,1,1,1
834R,,3,2,3,1,4,0,0,1,1,3,1
836,1,1,3,1,3,3,0,0,1,1,1,2
869,3,2,1,2,1,4,0,1,2,1,3,1
873R,1,1,2,2,3,0,0,1,2,1,1,1
882,1,4,2,1,2,0,0,0,3,1,1,2
925,2,3,2,1,1,4,1,1,3,1,3,1
928R,1,2,1,2,2,3,0,0,2,1,3,1
934,1,4,2,3,2,1,1,0,2,1,3,1
93R,1,1,3,2,3,1,1,1,2,1,1,1
944R,1,2,1,1,2,4,0,0,1,1,3,1
947R,1,2,1,1,1,4,0,0,3,1,3,1
94R,1,2,2,2,3,2,0,1,2,1,1,1
951R,1,4,2,3,1,4,0,1,2,1,3,1
95R,1,1,3,1,3,0,1,1,3,1,1,2
96R,,5,2,1,1,4,0,0,2,1,3,1
97R,2,3,2,1,1,3,1,0,2,1,3,1
983,1,3,2,2,1,2,1,0,1,1,3,1
985RR,1,4,2,1,2,1,0,0,2,1,3,1
992R,1,3,2,1,1,,0,0,2,1,3,1
