i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,i26,i27,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i38,i39,i40,i41,i42,i43,i44,i45,i46,i47,i48,i49,i50,i51,i52,i53,i54,i55,i56,i57,i58,i59,i60,i61,i62,i63,i64,i65,i66,i67,Recid,o1,o2,o3
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,0,3,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,1,2,5,5,1,1,0,NA,0,4,3,0,0,0,0,NA,NA,3975,NA,NA,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,3,6,NA,NA,1,2,1,5,5,2,1,1,0,0,5,4,0,0,0,0,NA,NA,3976,NA,NA,2
NA,NA,NA,NA,6,NA,NA,0,0,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,4,4,NA,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,3,NA,NA,NA,NA,1,2,5,4,NA,1,NA,NA,0,3,0,0,0,0,0,NA,NA,3977,NA,NA,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,4,NA,NA,NA,2,1,2,5,5,1,1,1,0,0,3,4,0,0,1,1,NA,NA,3978,NA,NA,2
NA,NA,NA,NA,5,NA,NA,0,0,0,0,0,NA,4,NA,NA,4,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,0,NA,NA,1,1,NA,6,NA,2,0,NA,1,NA,3,NA,2,NA,0,NA,NA,NA,3979,NA,NA,2
3,NA,NA,NA,5,NA,NA,1,0,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,0,1,2,NA,NA,1,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,3980,NA,NA,2
NA,NA,0,4,4,3,3,1,0,0,0,0,0,4,2,2,5,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,5,4,4,3,NA,NA,NA,0,1,0,NA,NA,2,3,0,0,NA,NA,4,NA,NA,NA,1,NA,5,NA,NA,1,1,NA,0,4,NA,0,NA,0,0,NA,NA,3981,NA,NA,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,3,NA,NA,NA,0,1,NA,5,4,NA,1,NA,NA,0,5,0,0,0,NA,0,NA,NA,3982,NA,NA,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,4,4,4,3,0,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3983,NA,NA,2
NA,NA,NA,NA,5,4,NA,NA,0,0,0,0,NA,0,NA,3,5,0,2,2,NA,0,0,0,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,3,NA,0,NA,NA,NA,NA,0,0,NA,6,3,NA,NA,0,1,2,5,4,NA,1,3,0,0,4,0,0,0,4,0,NA,NA,3984,NA,NA,2
